t,t_global,regime,switch,a,pi_max,entropy,margin,zone_id,x,y,g_0,g_1,g_2,g_3,g_4,g_5,g_6,g_7,g_8,g_9,g_10,g_11
155,154,0,0,3,0.9749289155006409,0.1499721109867096,0.9650413393974304,2,14,7,-0.7329039573669434,0.033571455627679825,-0.023545505478978157,0.6371393799781799,-0.9473340511322021,0.1271730214357376,0.6241811513900757,-0.9619498252868652,0.5791631937026978,1.2573784589767456,-0.47608375549316406,-0.003173443488776684
156,155,0,0,3,0.9904593229293823,0.06621523946523666,0.9866475462913513,2,14,7,-0.7319149374961853,0.03338056057691574,-0.023985210806131363,0.6378151178359985,-0.9472762942314148,0.12742246687412262,0.6239062547683716,-0.9619696140289307,0.5792719125747681,1.257067322731018,-0.47693538665771484,-0.0030078121926635504
157,156,0,0,3,0.9931167364120483,0.049997761845588684,0.9905171394348145,2,14,7,-0.7220779061317444,0.03186529874801636,-0.0272082332521677,0.6377109289169312,-0.9471052885055542,0.12638801336288452,0.6223379969596863,-0.9624563455581665,0.5825300216674805,1.2595641613006592,-0.4805485010147095,-0.004622284322977066
158,157,0,0,3,0.993587851524353,0.047017257660627365,0.9911236763000488,2,14,7,-0.7129706740379333,0.030265340581536293,-0.030389076098799706,0.6390056610107422,-0.947029709815979,0.12572118639945984,0.6206642985343933,-0.9629544019699097,0.5846854448318481,1.2614446878433228,-0.4840152859687805,-0.005719606764614582
159,158,0,0,3,0.9938626289367676,0.04526239261031151,0.9914944171905518,2,14,7,-0.7048274278640747,0.029098637402057648,-0.032862305641174316,0.6387267112731934,-0.9469407796859741,0.12457337975502014,0.6195477843284607,-0.9634575843811035,0.5875338315963745,1.2632631063461304,-0.4869700074195862,-0.006930874660611153
160,159,0,0,3,0.9905052781105042,0.06594561040401459,0.9867371320724487,2,14,7,-0.7053611874580383,0.029387306421995163,-0.032420095056295395,0.637373149394989,-0.9469884634017944,0.12434491515159607,0.6198559403419495,-0.963476300239563,0.5884088277816772,1.26320219039917,-0.48677319288253784,-0.006991888862103224
161,160,0,0,3,0.9880884289741516,0.08005395531654358,0.9833438396453857,2,14,7,-0.7075417637825012,0.029727084562182426,-0.03184545412659645,0.6368855834007263,-0.9470941424369812,0.12474910169839859,0.6201844215393066,-0.9633861780166626,0.5881456732749939,1.2627543210983276,-0.4859068691730499,-0.006685170810669661
162,161,0,0,3,0.9798739552497864,0.12477653473615646,0.9718952775001526,2,14,7,-0.7137846946716309,0.030533837154507637,-0.029914740473031998,0.6358243823051453,-0.9470537900924683,0.12536245584487915,0.6211831569671631,-0.9629673957824707,0.5867698788642883,1.2618459463119507,-0.4832441210746765,-0.006018093787133694
163,162,0,0,3,0.9884175658226013,0.07817992568016052,0.9838503003120422,2,14,7,-0.7152814269065857,0.031020691618323326,-0.02905384637415409,0.6341732740402222,-0.9471816420555115,0.1253187209367752,0.6214953660964966,-0.962950587272644,0.5872947573661804,1.2619075775146484,-0.4825626015663147,-0.006058102939277887
164,163,0,0,3,0.9894481897354126,0.07217004895210266,0.9852089881896973,2,14,7,-0.7151393890380859,0.030743559822440147,-0.029793312773108482,0.6363343000411987,-0.9473385810852051,0.12623365223407745,0.621097981929779,-0.9630243182182312,0.5859670042991638,1.2613515853881836,-0.4828898310661316,-0.00548504339531064
165,164,0,0,3,0.991000235080719,0.06298473477363586,0.9874289631843567,2,14,7,-0.7140621542930603,0.030647404491901398,-0.030188197270035744,0.6363556981086731,-0.9473801851272583,0.1262950748205185,0.6209378838539124,-0.9631245136260986,0.5864607691764832,1.2613105773925781,-0.4834936261177063,-0.005516358185559511
166,165,0,0,3,0.9862672090530396,0.09038837999105453,0.9808381199836731,2,14,7,-0.7168868780136108,0.031090054661035538,-0.029262593016028404,0.6359261870384216,-0.9473704099655151,0.12643583118915558,0.6214522123336792,-0.9629635214805603,0.5858584642410278,1.2607829570770264,-0.4823729395866394,-0.0051397038623690605
167,166,0,0,3,0.9818589091300964,0.11436207592487335,0.9746493697166443,2,14,7,-0.7212620377540588,0.03150106221437454,-0.028332844376564026,0.6365084648132324,-0.9472728967666626,0.12725220620632172,0.6221141815185547,-0.9626375436782837,0.5840944647789001,1.2596584558486938,-0.4807455837726593,-0.004371620714664459
168,167,0,0,3,0.9725605249404907,0.16164560616016388,0.9617866277694702,2,14,7,-0.7293650507926941,0.03269471228122711,-0.024945585057139397,0.6332803964614868,-0.9470624923706055,0.12743455171585083,0.6235862970352173,-0.9620097279548645,0.5830194354057312,1.259016752243042,-0.4772564768791199,-0.003739448729902506
169,168,0,0,3,0.9870014190673828,0.08625798672437668,0.981840193271637,2,14,7,-0.7306011319160461,0.03277425095438957,-0.024799445644021034,0.6342678666114807,-0.9470558166503906,0.12795810401439667,0.6236468553543091,-0.9619258046150208,0.5820332765579224,1.2583683729171753,-0.47708675265312195,-0.0032845530658960342
170,169,0,0,3,0.9818938970565796,0.11419685184955597,0.974783182144165,2,14,7,-0.735668420791626,0.03387504443526268,-0.021895024925470352,0.6299996972084045,-0.9468781352043152,0.1277182251214981,0.6247180700302124,-0.961514413356781,0.5827311873435974,1.2582560777664185,-0.47511518001556396,-0.0031615281477570534
171,170,0,0,3,0.9912099838256836,0.061730653047561646,0.9877661466598511,2,14,7,-0.733168363571167,0.03390364348888397,-0.022214185446500778,0.6282978057861328,-0.9469033479690552,0.12727835774421692,0.6244750022888184,-0.961707592010498,0.5845996141433716,1.259002447128296,-0.4762739837169647,-0.003684666007757187
172,171,0,0,3,0.9817043542861938,0.11521238833665848,0.9744981527328491,2,14,7,-0.7370702028274536,0.03446236997842789,-0.020867036655545235,0.6279051303863525,-0.9468554854393005,0.127668097615242,0.6250690221786499,-0.9614461660385132,0.5834724307060242,1.2582796812057495,-0.47477710247039795,-0.003190607763826847
173,172,0,0,3,0.9920571446418762,0.05657041445374489,0.9889304041862488,2,14,7,-0.7331016659736633,0.033957600593566895,-0.0221108365803957,0.6285778880119324,-0.9469029307365417,0.12746495008468628,0.6242722868919373,-0.9617085456848145,0.5844488739967346,1.2588181495666504,-0.47667282819747925,-0.003497448517009616
174,173,0,0,3,0.9797423481941223,0.1254611313343048,0.9716638326644897,2,14,7,-0.7380324602127075,0.03445340692996979,-0.020726310089230537,0.6290428638458252,-0.9467065334320068,0.12807941436767578,0.625096321105957,-0.9612856507301331,0.5826277732849121,1.2574397325515747,-0.47489506006240845,-0.0027373237535357475
